city,postal_code,latitude,longitude
Aach,78267,49.7894542,6.5906612
Aachen,"52062, 52063, 52064, 52065, 52066, 52067, 52068, 52069, 52070, 52071, 52072, 52073, 52074, 52075, 52076, 52077, 52078, 52079, 52080",50.776351,6.083862
Aalen,"73430, 73431, 73432, 73433, 73434, 73453",48.8362705,10.0931765
Abenberg,91183,49.2335534,10.93205621301733
Abensberg,93326,48.8332409,11.8570782
Achern,77855,48.6300161,8.0735581
Achim,28832,53.0096048,9.039649
Adelsheim,74740,49.4053706,9.3903482
Adenau,"53511, 53512, 53513, 53514, 53515, 53516, 53517, 53518",50.3823283,6.9304002
Adorf/Vogtl.,08626,50.3206834,12.2535919
Ahaus,48683,52.0761541,7.004876
Ahlen,"59227, 59229",51.7627633,7.8909086
Ahrensburg,22926,53.6736529,10.2358999
Aichach,86551,48.4591478,11.1309953
Aichtal,72631,48.6278878,9.2412617
Aken (Elbe),"06385, 06386",51.85,12.05
Albstadt,"72458, 72459, 72460, 72461",48.233048,8.9991483
Alfeld (Leine),31061,51.9863077,9.8247473
Allendorf (Lumda),35469,50.6786638,8.8229355
Allstedt,06542,51.402697,11.3873822
Alpirsbach,72275,48.3456021,8.4033079
Alsdorf,52477,49.8885782,6.4643156
Alsfeld,36304,50.7523545,9.268355
Alsleben (Saale),06425,51.7107246,11.6671591
Altdorf bei Nürnberg,90518,49.3858107,11.3564341
Altena,58762,51.2990263,7.6734841
Altenberg,"01773, 01778",50.766598,13.7523234
Altenburg,04600,50.9852411,12.4340988
Altenkirchen (Westerwald),57610,50.6880109,7.6477412
Altensteig,72213,48.5878287,8.6052271
Altentreptow,17087,53.6929029,13.2512464
Altlandsberg,15345,52.5614869,13.7245542
Altötting,84503,48.2268085,12.6757914
Alzenau,63755,50.0833781,9.0665847
Alzey,55232,49.7455695,8.1150946
Amberg,92224,49.4454211,11.858728
Amöneburg,35287,50.79946485,8.941291794880504
Amorbach,63916,49.643684,9.2225034
Amt Creuzburg,"99831, 99826",51.0666037,10.2782817
An der Schmücke,06577,51.2932423,11.180359155289436
Andernach,56626,50.4391924,7.4023145
Angermünde,16278,53.017276,13.9981503
Anklam,"17389, 17392",53.8560526,13.688091
Annaberg-Buchholz,09456,50.5788781,13.0106108
Annaburg,06925,51.7327678,13.0434296
Annweiler am Trifels,76855,49.2027254,7.9682264
Ansbach,91522,49.3028611,10.5722288
Apolda,99510,51.0227878,11.5129742
Arendsee (Altmark),39619,52.83863315,11.397528628077042
Arneburg,39596,52.674454,12.0035022
Arnis,24399,54.63008,9.9327513
Arnsberg,"59755, 59757, 59759, 59821, 59823",51.4002384,8.0605908
Arnstadt,99310,50.8349097,10.9461479
Arnstein,97450,49.9779268,9.968448
Arnstein,06456,49.9779268,9.968448
Artern,06556,51.3627798,11.2935249
Arzberg,95659,50.0567356,12.1859087
Aschaffenburg,"63739, 63741, 63743",49.9740542,9.1493636
Aschersleben,06449,51.7559549,11.462134
Asperg,71679,48.9058591,9.1350865
Aßlar,"35614, 35630",50.5927946,8.4649082
Attendorn,57439,51.1250541,7.9010992
Aub,97239,49.5524989,10.0652861
Aue-Bad Schlema,"08280, 08301",50.6039112,12.683981
Auerbach in der Oberpfalz,91275,49.6923981,11.6325698
Auerbach/Vogtl.,08209,50.5087816,12.400153
Augsburg,"86150, 86151, 86152, 86153, 86154, 86155, 86156, 86157, 86158, 86159, 86160, 86161, 86162, 86163, 86164, 86165, 86166, 86167, 86168, 86169, 86170, 86171, 86172, 86173, 86174, 86175, 86176, 86177, 86178, 86179, 86180, 86181, 86182, 86183, 86184, 86185, 86186, 86187, 86188, 86189, 86190, 86191, 86192, 86193, 86194, 86195, 86196, 86197, 86198, 86199",48.3668041,10.8986971
Augustusburg,09573,50.8144193,13.1009791
Aulendorf,88326,47.9528162,9.6409331
Auma-Weidatal,07955,50.7082198,11.9177098
Aurich,"26603, 26605, 26607",53.51228535,7.391528412821689
Babenhausen,64832,49.9562183,8.9460279
Bacharach,55422,50.0597943,7.7683997
Backnang,"71522, 71570",48.9470756,9.4297925
Bad Aibling,83043,47.8640504,12.0097685
Bad Arolsen,34454,51.3649894,9.0376388
Bad Belzig,14806,52.1405622,12.5865873
Bad Bentheim,48455,52.3024786,7.1605921
Bad Bergzabern,76887,49.1028075,7.9991268
Bad Berka,99438,50.9002644,11.2829778
Bad Berleburg,57319,51.0478493,8.3917759
Bad Berneck im Fichtelgebirge,95460,50.05311775,11.686856996989
Bad Bevensen,29549,53.0809408,10.5744812
Bad Bibra,06647,51.2064665,11.5835806
Bad Blankenburg,07422,50.6829946,11.2726327
Bad Bramstedt,24576,53.9167,9.88333
Bad Breisig,53498,50.5098164,7.2983807
Bad Brückenau,97769,50.3101036,9.7892824
Bad Buchau,88422,48.0641747,9.6106661
Bad Camberg,65520,50.299603,8.2673122
Bad Doberan,18209,54.105858,11.9026057
